NOA,NEM,NSR,CP2,Effort (Actual)
170,142,97,110.55,286
292,409,295,242.54,396
929,821,567,446.6,471
755,975,723,760.96,1016
1145,997,764,1242.6,1261
400,225,181,180.84,261
402,589,944,645.6,993
260,262,167,208.56,552
385,697,929,905,998
77,71,218,95.06,180
559,368,504,251.55,482
682,789,362,766.29,1083
98,79,41,64.61,205
508,542,392,620.1,851
770,701,635,743.49,840
1087,885,701,1345.4,1414
65,97,387,74.26,279
293,382,654,481.66,621
484,387,845,474.95,601
304,347,870,438.9,680
299,343,264,262.74,366
637,944,421,627.6,947
451,409,269,358.6,485
520,531,401,590.42,812
812,387,297,428.18,685
788,373,278,280.84,638
1633,724,1167,1719.25,1803
177,192,126,104.5,369
181,169,128,156.64,439
285,323,195,246.96,491
444,363,398,241.4,484
389,431,362,413.1,481
858,692,653,738.7,861
389,345,245,234.08,417
448,218,187,195.36,268
332,250,512,263.07,470
193,135,121,126.38,436
212,227,147,148.35,428
318,213,183,200.1,436
147,154,83,110.67,356
37,19,30,24.02,40.43
46,39,15,27.93,45.66
51,21,15,24.29,40.95
55,44,11,30.72,51.83
41,20,13,20.66,42.23
32,19,8,16.48,33.48
14,22,15,14.24,26.35
26,13,16,15.36,32.41
30,12,8,13.96,29.83
11,7,8,7.26,9.43
50,20,14,23.46,48.4
18,19,12,13.68,29.31
22,19,8,13.68,23.31
44,15,8,18.71,36.61
11,14,8,9.22,15.05
34,55,23,31.28,51.86
40,48,31,33.23,71.48
30,32,17,22.06,45.81
23,20,11,15.08,33.9
58,29,24,35.12,71.13
61,48,31,41.34,81.18
76,54,29,47.52,94.17
49,44,26,31.72,61.96
27,18,14,17.31,35.28
81,46,32,46.48,83.1
24,31,19,20.13,40.92
26,13,16,15.36,32.45
94,52,28,49.86,100.85
53,37,19,29.26,47.15
34,23,17,20.68,44.83
110,67,36,58.47,128.27
93,76,48,56.12,90.05
